--------- beginning of system
01-30 17:14:36.418  1562  1620 E ActivityThread: Failed to find provider info for com.qti.smq.Feedback.provider
01-30 22:35:26.714  1089  1641 E ActivityManager: Timeout waiting for provider com.google.android.gsf/10127 for provider com.google.settings providerRunning=false caller=unknown/10135
01-30 22:35:26.724  1089  1189 I DropBoxManagerService: add tag=system_server_wtf isTagEnabled=true flags=0x2
01-30 22:35:27.430  1089  2461 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10127; state: DISABLED
01-30 22:35:27.431  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10127; state: ENABLED
01-30 22:35:27.458  1089  1190 I ActivityManager: Start proc 1503:com.google.process.gservices/u0a127 for content provider {com.google.android.gsf/com.google.android.gsf.gservices.GservicesProvider}
01-30 22:35:28.144  1089  2461 D ConnectivityService: requestNetwork for uid/pid:10125/1394 NetworkRequest [ TRACK_DEFAULT id=678, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED Uid: 10125 AdministratorUids: [] RequestorUid: 10125 RequestorPackageName: com.android.vending] ]
01-30 22:35:28.145  1089  1404 D ConnectivityService: NetReassign [no changes]
01-30 22:35:28.160  1089  1404 D ConnectivityService: NetReassign [no changes]
01-30 22:35:28.554  1089  3501 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.DROPBOX_ENTRY_ADDED flg=0x10 (has extras) } to com.google.android.gms/.stats.service.DropBoxEntryAddedReceiver
01-30 22:35:29.122  1089  1641 D ConnectivityService: ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ LISTEN id=679, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED Uid: 10125 AdministratorUids: [] RequestorUid: 10125 RequestorPackageName: com.android.vending] ], android.os.BinderProxy@7e81d5b)
01-30 22:35:29.123  1089  3916 I ActivityManager: Process com.android.vending (pid 1394) has died: cch+15 CEM 
01-30 22:35:29.124  1089  1875 D ConnectivityService: ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ TRACK_DEFAULT id=678, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED Uid: 10125 AdministratorUids: [] RequestorUid: 10125 RequestorPackageName: com.android.vending] ], android.os.BinderProxy@62869f8)
01-30 22:35:29.125  1089  1404 D ConnectivityService: releasing NetworkRequest [ TRACK_DEFAULT id=678, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED Uid: 10125 AdministratorUids: [] RequestorUid: 10125 RequestorPackageName: com.android.vending] ] (release request)
01-30 22:35:29.338  1089  3916 I ActivityManager: Process com.google.android.gms (pid 1167) has died: cch+15 CEM 
01-30 22:35:29.442  1089  3916 I ActivityManager: Process com.google.process.gservices (pid 1503) has died: cch+5 CEM 
01-30 22:35:30.158  1089  1205 E KernelCpuSpeedReader: Failed to read cpu-freq: /sys/devices/system/cpu/cpu0/cpufreq/stats/time_in_state: open failed: ENOENT (No such file or directory)
01-30 22:35:34.595  1089  1089 W Looper  : Slow dispatch took 109ms main h=android.app.ActivityThread$H c=null m=124
01-30 22:35:36.526  1089  1189 W ActivityManager: Ignoring remove of inactive process: ProcessRecord{ee4b6ea 0:com.google.process.gapps/u0a127}
01-30 23:17:26.871  1089  1379 D CompatibilityChangeReporter: Compat change id reported: 135634846; UID 10116; state: DISABLED
01-30 23:17:26.872  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10116; state: DISABLED
01-30 23:17:26.912  1089  1190 I ActivityManager: Start proc 1682:com.google.android.apps.searchlite/u0a116 for broadcast {com.google.android.apps.searchlite/com.google.android.apps.searchlite.widget.SearchLiteWidgetProvider}
