--------- beginning of system
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@54095b6
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@ae162b7
01-26 11:40:35.458  1080  1308 I chatty  : uid=1000(system) Binder:1080_5 expire 1 line
01-26 11:40:35.460  1080  2741 I chatty  : uid=1000(system) Binder:1080_1E expire 2 lines
01-26 11:40:35.460  1080  2779 I chatty  : uid=1000(system) Binder:1080_20 expire 1 line
01-26 11:40:35.461  1080  2742 I chatty  : uid=1000(system) Binder:1080_1F expire 3 lines
01-26 11:40:36.731  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 14 lines
01-26 11:40:39.384  1080  2779 I chatty  : uid=1000(system) Binder:1080_20 expire 5 lines
01-26 11:40:39.385  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 8 lines
01-26 11:40:40.069  1080  2628 I chatty  : uid=1000(system) Binder:1080_1D expire 2 lines
01-26 11:40:40.630  1080  1932 I chatty  : uid=1000(system) Binder:1080_1B expire 7 lines
01-26 11:40:40.630  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 1 line
01-26 11:40:41.670  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-26 11:40:42.618  1080  1657 I chatty  : uid=1000(system) Binder:1080_19 expire 2 lines
01-26 11:40:46.732  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 8 lines
01-26 11:40:48.307  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-26 11:40:48.355  1080  1932 I chatty  : uid=1000(system) Binder:1080_1B expire 1 line
01-26 11:40:48.356  1080  1657 I chatty  : uid=1000(system) Binder:1080_19 expire 2 lines
01-26 11:40:48.359  1080  3564 I chatty  : uid=1000(system) Binder:1080_F expire 3 lines
01-26 11:40:48.538  1080  3122 I chatty  : uid=1000(system) Binder:1080_21 expire 3 lines
01-26 11:40:49.914  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 5 lines
01-26 12:25:46.905  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-26 12:25:46.905  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 18 lines
01-26 17:04:35.917  1080  1411 I chatty  : uid=1000(system) onProviders.ECP expire 1 line
01-26 17:23:58.125  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 4 lines
01-26 17:23:58.294  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 23 lines
01-26 17:23:58.374  1080  1361 I chatty  : uid=1000(system) NetworkWatchlis expire 2 lines
01-26 17:23:58.719  1080  3574 I chatty  : uid=1000(system) Binder:1080_10 expire 2 lines
01-26 17:23:58.719  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-26 17:23:58.720  1080  2554 I chatty  : uid=1000(system) Binder:1080_E expire 2 lines
01-26 17:23:59.002  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-26 17:23:59.351  1080  1106 I chatty  : uid=1000(system) Binder:1080_1 expire 2 lines
01-26 17:23:59.352  1080  1930 I chatty  : uid=1000(system) Binder:1080_1A expire 1 line
01-26 17:23:59.352  1080  1107 I chatty  : uid=1000(system) Binder:1080_2 expire 1 line
01-26 17:23:59.352  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 1 line
01-26 17:23:59.455  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 3 lines
01-26 17:24:00.112  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 29 lines
01-26 17:24:00.390  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 2 lines
01-26 17:24:00.910  1080  3574 I chatty  : uid=1000(system) Binder:1080_10 expire 4 lines
01-26 17:24:01.502  1080  1792 I chatty  : uid=1000(system) Binder:1080_7 expire 1 line
